Entity,Code,Year,Gas (% equivalent primary energy)
Asia Pacific (EI),,1980,5.356786
Asia Pacific (EI),,1981,5.3889236
Asia Pacific (EI),,1982,5.5515184
Asia Pacific (EI),,1983,5.8737917
Asia Pacific (EI),,1984,6.416403
Asia Pacific (EI),,1985,6.6491895
Asia Pacific (EI),,1986,6.9701195
Asia Pacific (EI),,1987,7.0049033
Asia Pacific (EI),,1988,6.9623275
Asia Pacific (EI),,1989,7.0152364
Asia Pacific (EI),,1990,7.166865
Asia Pacific (EI),,1991,7.521265
Asia Pacific (EI),,1992,7.6830587
Asia Pacific (EI),,1993,7.643114
Asia Pacific (EI),,1994,7.894361
Asia Pacific (EI),,1995,7.858292
Asia Pacific (EI),,1996,8.193447
Asia Pacific (EI),,1997,8.589646
Asia Pacific (EI),,1998,8.802255
Asia Pacific (EI),,1999,9.167118
Asia Pacific (EI),,2000,9.5105295
Asia Pacific (EI),,2001,9.77156
Asia Pacific (EI),,2002,9.740835
Asia Pacific (EI),,2003,9.754966
Asia Pacific (EI),,2004,9.40954
Asia Pacific (EI),,2005,9.371336
Asia Pacific (EI),,2006,9.532328
Asia Pacific (EI),,2007,9.667406
Asia Pacific (EI),,2008,10.000856
Asia Pacific (EI),,2009,10.018977
Asia Pacific (EI),,2010,10.51162
Asia Pacific (EI),,2011,10.79133
Asia Pacific (EI),,2012,11.155642
Asia Pacific (EI),,2013,11.2551985
Asia Pacific (EI),,2014,11.294435
Asia Pacific (EI),,2015,11.25691
Asia Pacific (EI),,2016,11.355584
Asia Pacific (EI),,2017,11.559204
Asia Pacific (EI),,2018,11.926878
Asia Pacific (EI),,2019,11.963199
Asia Pacific (EI),,2020,12.171891
Asia Pacific (EI),,2021,12.29612
Asia Pacific (EI),,2022,11.7634735
Australia,AUS,1965,0.0069229137
Australia,AUS,1966,0.008809655
Australia,AUS,1967,0.008307035
Australia,AUS,1968,0.060709346
Australia,AUS,1969,0.7898692
Australia,AUS,1970,3.0352442
Australia,AUS,1971,4.313018
Australia,AUS,1972,5.921508
Australia,AUS,1973,7.0319543
Australia,AUS,1974,7.543463
Australia,AUS,1975,7.9665637
Australia,AUS,1976,9.088011
Australia,AUS,1977,9.894601
Australia,AUS,1978,10.32091
Australia,AUS,1979,11.455624
Australia,AUS,1980,13.108235
Australia,AUS,1981,13.982892
Australia,AUS,1982,13.763756
Australia,AUS,1983,15.479199
Australia,AUS,1984,14.70135
Australia,AUS,1985,15.264039
Australia,AUS,1986,16.351376
Australia,AUS,1987,16.21771
Australia,AUS,1988,15.879732
Australia,AUS,1989,16.488323
Australia,AUS,1990,16.239092
Australia,AUS,1991,15.685175
Australia,AUS,1992,15.963486
Australia,AUS,1993,16.210598
Australia,AUS,1994,17.329031
Australia,AUS,1995,16.756117
Australia,AUS,1996,16.39766
Australia,AUS,1997,15.715676
Australia,AUS,1998,15.802648
Australia,AUS,1999,15.550234
Australia,AUS,2000,15.747886
Australia,AUS,2001,16.85386
Australia,AUS,2002,17.003838
Australia,AUS,2003,16.89685
Australia,AUS,2004,16.699562
Australia,AUS,2005,16.491634
Australia,AUS,2006,17.638287
Australia,AUS,2007,19.26733
Australia,AUS,2008,18.629047
Australia,AUS,2009,19.301474
Australia,AUS,2010,21.013796
Australia,AUS,2011,21.225405
Australia,AUS,2012,21.668228
Australia,AUS,2013,22.499868
Australia,AUS,2014,23.982605
Australia,AUS,2015,24.34823
Australia,AUS,2016,23.620525
Australia,AUS,2017,23.274096
Australia,AUS,2018,22.880087
Australia,AUS,2019,26.220438
Australia,AUS,2020,26.774227
Australia,AUS,2021,25.058893
Australia,AUS,2022,25.058216
Austria,AUT,1965,9.250029
Austria,AUT,1966,9.489992
Austria,AUT,1967,8.999486
Austria,AUT,1968,8.9753685
Austria,AUT,1969,10.512111
Austria,AUT,1970,11.134404
Austria,AUT,1971,12.844205
Austria,AUT,1972,13.417226
Austria,AUT,1973,13.715739
Austria,AUT,1974,14.790659
Austria,AUT,1975,14.872655
Austria,AUT,1976,16.36684
Austria,AUT,1977,16.639479
Austria,AUT,1978,16.591034
Austria,AUT,1979,15.530012
Austria,AUT,1980,14.982205
Austria,AUT,1981,14.709836
Austria,AUT,1982,14.720239
Austria,AUT,1983,15.060827
Austria,AUT,1984,16.939564
Austria,AUT,1985,17.096468
Austria,AUT,1986,16.566225
Austria,AUT,1987,16.372057
Austria,AUT,1988,15.916117
Austria,AUT,1989,16.998297
Austria,AUT,1990,18.478794
Austria,AUT,1991,18.680426
Austria,AUT,1992,18.63805
Austria,AUT,1993,19.258062
Austria,AUT,1994,19.930738
Austria,AUT,1995,20.74953
Austria,AUT,1996,22.057142
Austria,AUT,1997,20.818642
Austria,AUT,1998,21.036201
Austria,AUT,1999,21.004461
Austria,AUT,2000,19.980076
Austria,AUT,2001,20.446144
Austria,AUT,2002,20.069944
Austria,AUT,2003,21.847385
Austria,AUT,2004,21.6556
Austria,AUT,2005,22.39396
Austria,AUT,2006,21.266064
Austria,AUT,2007,20.560823
Austria,AUT,2008,21.591314
Austria,AUT,2009,21.708303
Austria,AUT,2010,22.87912
Austria,AUT,2011,22.828882
Austria,AUT,2012,20.804916
Austria,AUT,2013,19.942595
Austria,AUT,2014,19.024857
Austria,AUT,2015,20.180338
Austria,AUT,2016,20.447369
Austria,AUT,2017,21.739609
Austria,AUT,2018,21.275146
Austria,AUT,2019,20.745607
Austria,AUT,2020,21.259556
Austria,AUT,2021,22.331207
Austria,AUT,2022,20.736406
Azerbaijan,AZE,1985,56.5284
Azerbaijan,AZE,1986,58.365738
Azerbaijan,AZE,1987,59.48325
Azerbaijan,AZE,1988,58.696495
Azerbaijan,AZE,1989,60.473816
Azerbaijan,AZE,1990,59.18938
Azerbaijan,AZE,1991,58.944656
Azerbaijan,AZE,1992,53.531414
Azerbaijan,AZE,1993,45.55122
Azerbaijan,AZE,1994,46.380478
Azerbaijan,AZE,1995,48.761784
Azerbaijan,AZE,1996,43.56201
Azerbaijan,AZE,1997,43.32358
Azerbaijan,AZE,1998,40.272038
Azerbaijan,AZE,1999,43.25543
Azerbaijan,AZE,2000,40.004963
Azerbaijan,AZE,2001,59.55978
Azerbaijan,AZE,2002,60.49841
Azerbaijan,AZE,2003,57.282753
Azerbaijan,AZE,2004,59.37388
Azerbaijan,AZE,2005,56.572617
Azerbaijan,AZE,2006,60.805565
Azerbaijan,AZE,2007,58.1512
Azerbaijan,AZE,2008,65.95304
Azerbaijan,AZE,2009,65.58294
Azerbaijan,AZE,2010,63.269226
Azerbaijan,AZE,2011,60.94618
Azerbaijan,AZE,2012,62.02755
Azerbaijan,AZE,2013,60.899002
Azerbaijan,AZE,2014,62.652554
Azerbaijan,AZE,2015,64.80379
Azerbaijan,AZE,2016,64.11347
Azerbaijan,AZE,2017,63.45268
Azerbaijan,AZE,2018,63.047718
Azerbaijan,AZE,2019,65.659164
Azerbaijan,AZE,2020,67.537674
Azerbaijan,AZE,2021,65.50132
Azerbaijan,AZE,2022,62.316925
Bangladesh,BGD,1971,27.352562
Bangladesh,BGD,1972,24.140749
Bangladesh,BGD,1973,30.188906
Bangladesh,BGD,1974,34.284615
Bangladesh,BGD,1975,23.237772
Bangladesh,BGD,1976,29.115099
Bangladesh,BGD,1977,31.93424
Bangladesh,BGD,1978,31.876846
Bangladesh,BGD,1979,33.111797
Bangladesh,BGD,1980,35.36975
Bangladesh,BGD,1981,36.954315
Bangladesh,BGD,1982,43.48982
Bangladesh,BGD,1983,48.935284
Bangladesh,BGD,1984,52.25448
Bangladesh,BGD,1985,53.404354
Bangladesh,BGD,1986,55.33316
Bangladesh,BGD,1987,58.90522
Bangladesh,BGD,1988,62.25354
Bangladesh,BGD,1989,61.048813
Bangladesh,BGD,1990,61.933716
Bangladesh,BGD,1991,66.11149
Bangladesh,BGD,1992,66.10449
Bangladesh,BGD,1993,67.30499
Bangladesh,BGD,1994,67.2463
Bangladesh,BGD,1995,62.948566
Bangladesh,BGD,1996,64.49472
Bangladesh,BGD,1997,60.33782
Bangladesh,BGD,1998,61.217712
Bangladesh,BGD,1999,65.99467
Bangladesh,BGD,2000,66.54521
Bangladesh,BGD,2001,65.19401
Bangladesh,BGD,2002,68.394554
Bangladesh,BGD,2003,69.601715
Bangladesh,BGD,2004,70.48393
Bangladesh,BGD,2005,69.93695
Bangladesh,BGD,2006,69.993774
Bangladesh,BGD,2007,72.972176
Bangladesh,BGD,2008,73.67161
Bangladesh,BGD,2009,76.93306
Bangladesh,BGD,2010,76.96037
Bangladesh,BGD,2011,72.16822
Bangladesh,BGD,2012,72.38177
Bangladesh,BGD,2013,71.57736
Bangladesh,BGD,2014,72.33566
Bangladesh,BGD,2015,67.11393
Bangladesh,BGD,2016,68.52646
Bangladesh,BGD,2017,65.89966
Bangladesh,BGD,2018,63.715275
Bangladesh,BGD,2019,64.08642
Bangladesh,BGD,2020,65.44987
Bangladesh,BGD,2021,63.811237
Bangladesh,BGD,2022,58.571392
Belarus,BLR,1985,21.206514
Belarus,BLR,1986,18.931183
Belarus,BLR,1987,21.062077
Belarus,BLR,1988,24.042372
Belarus,BLR,1989,26.179134
Belarus,BLR,1990,27.753792
Belarus,BLR,1991,29.113132
Belarus,BLR,1992,38.986996
Belarus,BLR,1993,43.259464
Belarus,BLR,1994,45.23758
Belarus,BLR,1995,45.974285
Belarus,BLR,1996,47.2051
Belarus,BLR,1997,53.37938
Belarus,BLR,1998,55.2744
Belarus,BLR,1999,57.88288
Belarus,BLR,2000,59.568745
Belarus,BLR,2001,60.923367
Belarus,BLR,2002,60.589455
Belarus,BLR,2003,60.021572
Belarus,BLR,2004,65.01448
Belarus,BLR,2005,66.87538
Belarus,BLR,2006,64.18998
Belarus,BLR,2007,66.05583
Belarus,BLR,2008,66.76975
Belarus,BLR,2009,59.922947
Belarus,BLR,2010,67.684814
Belarus,BLR,2011,63.931103
Belarus,BLR,2012,59.668755
Belarus,BLR,2013,65.36229
Belarus,BLR,2014,64.83076
Belarus,BLR,2015,67.02953
Belarus,BLR,2016,65.19349
Belarus,BLR,2017,65.53005
Belarus,BLR,2018,62.8612
Belarus,BLR,2019,62.055893
Belarus,BLR,2020,61.897068
Belarus,BLR,2021,61.383457
Belarus,BLR,2022,62.194736
Belgium,BEL,1965,0.17799143
Belgium,BEL,1966,0.3334096
Belgium,BEL,1967,1.2104491
Belgium,BEL,1968,2.6425765
Belgium,BEL,1969,4.960111
Belgium,BEL,1970,7.3670135
Belgium,BEL,1971,10.355411
Belgium,BEL,1972,12.281759
Belgium,BEL,1973,14.565748
Belgium,BEL,1974,17.676077
Belgium,BEL,1975,18.569725
Belgium,BEL,1976,18.488958
Belgium,BEL,1977,18.156385
Belgium,BEL,1978,17.247616
Belgium,BEL,1979,18.315754
Belgium,BEL,1980,18.306013
Belgium,BEL,1981,17.756084
Belgium,BEL,1982,15.476664
Belgium,BEL,1983,16.59596
Belgium,BEL,1984,16.386251
Belgium,BEL,1985,15.773145
Belgium,BEL,1986,13.724713
Belgium,BEL,1987,14.691462
Belgium,BEL,1988,14.216441
Belgium,BEL,1989,15.682624
Belgium,BEL,1990,15.401642
Belgium,BEL,1991,15.8782425
Belgium,BEL,1992,16.39902
Belgium,BEL,1993,17.44233
Belgium,BEL,1994,16.956564
Belgium,BEL,1995,18.527277
Belgium,BEL,1996,19.389877
Belgium,BEL,1997,18.307465
Belgium,BEL,1998,19.669113
Belgium,BEL,1999,21.154852
Belgium,BEL,2000,20.886938
Belgium,BEL,2001,20.814844
Belgium,BEL,2002,21.585651
Belgium,BEL,2003,22.14359
Belgium,BEL,2004,22.479141
Belgium,BEL,2005,22.342384
Belgium,BEL,2006,22.933207
Belgium,BEL,2007,22.94661
Belgium,BEL,2008,22.432238
Belgium,BEL,2009,24.549957
Belgium,BEL,2010,25.373951
Belgium,BEL,2011,23.156084
Belgium,BEL,2012,24.440681
Belgium,BEL,2013,23.553627
Belgium,BEL,2014,22.220968
Belgium,BEL,2015,24.108414
Belgium,BEL,2016,22.817806
Belgium,BEL,2017,22.919426
Belgium,BEL,2018,23.62594
Belgium,BEL,2019,23.54579
Belgium,BEL,2020,25.598415
Belgium,BEL,2021,22.969604
Belgium,BEL,2022,21.381458
Brazil,BRA,1965,0.18746936
Brazil,BRA,1966,0.20095128
Brazil,BRA,1967,0.21923837
Brazil,BRA,1968,0.20291883
Brazil,BRA,1969,0.1959413
Brazil,BRA,1970,0.17888777
Brazil,BRA,1971,0.25282583
Brazil,BRA,1972,0.303963
Brazil,BRA,1973,0.2953488
Brazil,BRA,1974,0.5099655
Brazil,BRA,1975,0.5250692
Brazil,BRA,1976,0.552547
Brazil,BRA,1977,0.6462532
Brazil,BRA,1978,0.76896524
Brazil,BRA,1979,0.77216667
Brazil,BRA,1980,0.88178587
Brazil,BRA,1981,0.8073967
Brazil,BRA,1982,1.0972426
Brazil,BRA,1983,1.466931
Brazil,BRA,1984,1.6033942
Brazil,BRA,1985,1.8765317
Brazil,BRA,1986,2.0725832
Brazil,BRA,1987,2.2512221
Brazil,BRA,1988,2.1983397
Brazil,BRA,1989,2.1918082
Brazil,BRA,1990,2.00864
Brazil,BRA,1991,2.0228086
Brazil,BRA,1992,2.2597365
Brazil,BRA,1993,2.529999
Brazil,BRA,1994,2.6345456
Brazil,BRA,1995,2.7344806
Brazil,BRA,1996,2.8453119
Brazil,BRA,1997,2.9083862
Brazil,BRA,1998,2.9442549
Brazil,BRA,1999,3.4542642
Brazil,BRA,2000,4.1177244
Brazil,BRA,2001,5.3468595
Brazil,BRA,2002,6.1767874
Brazil,BRA,2003,6.7849116
Brazil,BRA,2004,7.6949625
Brazil,BRA,2005,7.812121
Brazil,BRA,2006,7.996457
Brazil,BRA,2007,7.7368946
Brazil,BRA,2008,8.730471
Brazil,BRA,2009,7.0817156
Brazil,BRA,2010,8.65823
Brazil,BRA,2011,8.33895
Brazil,BRA,2012,9.603023
Brazil,BRA,2013,11.048774
Brazil,BRA,2014,11.40592
Brazil,BRA,2015,12.208434
Brazil,BRA,2016,10.805971
Brazil,BRA,2017,10.866908
Brazil,BRA,2018,10.32541
Brazil,BRA,2019,10.114307
Brazil,BRA,2020,9.257598
Brazil,BRA,2021,11.3274145
Brazil,BRA,2022,8.584513
Bulgaria,BGR,1965,0.46922827
Bulgaria,BGR,1966,0.6529554
Bulgaria,BGR,1967,1.7110715
Bulgaria,BGR,1968,2.3430312
Bulgaria,BGR,1969,2.186422
Bulgaria,BGR,1970,1.7537144
Bulgaria,BGR,1971,1.3195136
Bulgaria,BGR,1972,0.8639511
Bulgaria,BGR,1973,0.83771825
Bulgaria,BGR,1974,1.7724825
Bulgaria,BGR,1975,4.258652
Bulgaria,BGR,1976,7.0322
Bulgaria,BGR,1977,8.515109
Bulgaria,BGR,1978,8.773095
Bulgaria,BGR,1979,9.042942
Bulgaria,BGR,1980,11.009638
Bulgaria,BGR,1981,12.15561
Bulgaria,BGR,1982,13.130233
Bulgaria,BGR,1983,13.704077
Bulgaria,BGR,1984,14.492615
Bulgaria,BGR,1985,15.92799
Bulgaria,BGR,1986,15.506451
Bulgaria,BGR,1987,17.159662
Bulgaria,BGR,1988,16.289398
Bulgaria,BGR,1989,16.91582
Bulgaria,BGR,1990,19.381561
Bulgaria,BGR,1991,20.22714
Bulgaria,BGR,1992,19.03396
Bulgaria,BGR,1993,16.60449
Bulgaria,BGR,1994,17.265501
Bulgaria,BGR,1995,19.386448
Bulgaria,BGR,1996,19.884062
Bulgaria,BGR,1997,16.775251
Bulgaria,BGR,1998,14.59554
Bulgaria,BGR,1999,14.392921
Bulgaria,BGR,2000,15.663463
Bulgaria,BGR,2001,12.738748
Bulgaria,BGR,2002,11.644638
Bulgaria,BGR,2003,11.901913
Bulgaria,BGR,2004,12.017823
Bulgaria,BGR,2005,13.828956
Bulgaria,BGR,2006,13.978783
Bulgaria,BGR,2007,14.572213
Bulgaria,BGR,2008,14.728305
Bulgaria,BGR,2009,11.999011
Bulgaria,BGR,2010,12.632425
Bulgaria,BGR,2011,13.613714
Bulgaria,BGR,2012,13.344781
Bulgaria,BGR,2013,13.903507
Bulgaria,BGR,2014,12.933801
Bulgaria,BGR,2015,13.353856
Bulgaria,BGR,2016,14.663514
Bulgaria,BGR,2017,14.729725
Bulgaria,BGR,2018,13.814805
Bulgaria,BGR,2019,13.381709
Bulgaria,BGR,2020,14.948999
Bulgaria,BGR,2021,14.884612
Bulgaria,BGR,2022,11.664021
CIS (EI),,1965,17.591154
CIS (EI),,1966,18.45207
CIS (EI),,1967,19.330326
CIS (EI),,1968,20.119183
CIS (EI),,1969,20.591684
CIS (EI),,1970,21.508121
CIS (EI),,1971,22.410074
CIS (EI),,1972,22.419792
CIS (EI),,1973,23.204153
CIS (EI),,1974,23.315504
CIS (EI),,1975,24.242716
CIS (EI),,1976,25.67633
CIS (EI),,1977,26.331076
CIS (EI),,1978,26.913208
CIS (EI),,1979,27.808285
CIS (EI),,1980,28.032106
CIS (EI),,1981,29.065142
CIS (EI),,1982,30.6135
CIS (EI),,1983,32.14758
CIS (EI),,1984,33.80037
CIS (EI),,1985,36.227776
CIS (EI),,1986,36.35911
CIS (EI),,1987,37.219055
CIS (EI),,1988,38.428013
CIS (EI),,1989,39.235493
CIS (EI),,1990,40.08719
CIS (EI),,1991,41.54957
CIS (EI),,1992,42.241142
CIS (EI),,1993,45.174606
CIS (EI),,1994,46.51415
CIS (EI),,1995,47.98972
CIS (EI),,1996,50.190838
CIS (EI),,1997,49.30232
CIS (EI),,1998,51.268417
CIS (EI),,1999,51.14303
CIS (EI),,2000,51.03721
CIS (EI),,2001,51.299488
CIS (EI),,2002,51.773937
CIS (EI),,2003,51.50598
CIS (EI),,2004,52.411224
CIS (EI),,2005,53.099346
CIS (EI),,2006,53.19648
CIS (EI),,2007,53.616108
CIS (EI),,2008,52.620308
CIS (EI),,2009,52.67972
CIS (EI),,2010,53.790276
CIS (EI),,2011,53.31291
CIS (EI),,2012,52.23903
CIS (EI),,2013,52.276833
CIS (EI),,2014,52.24549
CIS (EI),,2015,52.38109
CIS (EI),,2016,52.181797
CIS (EI),,2017,52.815765
CIS (EI),,2018,53.422844
CIS (EI),,2019,53.04396
CIS (EI),,2020,52.961178
CIS (EI),,2021,54.560726
CIS (EI),,2022,51.733105
